2015-11-12 08:25:56,667 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/semantic_Web_projet/semweb/pom.xml.
2015-11-12 08:25:57,063 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /semweb/src/main/java
2015-11-12 08:25:57,066 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /semweb/src/main/resources
2015-11-12 08:25:57,067 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /semweb/src/test/java
2015-11-12 08:25:57,067 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /semweb/src/test/resources
2015-11-12 08:25:58,310 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/semantic_Web_projet/semweb/pom.xml.
2015-11-12 08:26:01,637 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/semantic_Web_projet/semweb/pom.xml.
2015-11-12 08:26:01,780 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:26:01,786 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:26:01,794 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:26:01,795 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:27:20,079 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: fr.master.wi:semweb:0.0.1-SNAPSHOT @ /Users/zunzunwang/Documents/JAVA_Projet/semantic_Web_projet/semweb/pom.xml.
2015-11-12 08:27:20,397 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:27:20,402 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:27:20,404 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:27:20,405 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:29:10,321 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:29:10,325 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:29:10,327 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:29:10,330 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:29:11,407 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:29:11,408 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:29:11,410 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:29:11,416 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:29:40,975 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:29:40,976 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:29:40,977 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:29:40,978 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:39:11,124 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:39:11,127 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:39:11,128 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:39:11,129 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:56:57,442 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:56:57,444 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:56:57,445 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:56:57,445 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2015-11-12 08:57:15,366 [Worker-14] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2015-11-12 08:57:15,367 [Worker-14] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
